Index,car & license plates img,license plates in txt,vehicle type,vehicle model & other info
19,"['https://img03.platesmania.com/230218/m/20914471.jpg', 'https://img03.platesmania.com/230218/inf/20914471efeb91.png']",60 R 842 TA,DAF XF,['Россия Оренбургская область']
20,"['https://img03.platesmania.com/230217/m/20912285.jpg', 'https://img03.platesmania.com/230217/inf/20912285b8a83b.png']",90 M 168 LA,DAF XF,"['3rd gen (XF105), 2006–2013', 'Россия, Калмыкия']"
21,"['https://img03.platesmania.com/230217/m/20912151.jpg', 'https://img03.platesmania.com/230217/inf/20912151b226fd.png']",90 W 151 HA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09.2019г.  Россия, Самарская область']"
22,"['https://img03.platesmania.com/230217/m/20912127.jpg', 'https://img03.platesmania.com/230217/inf/209121275b1f71.png']",90 O 669 FA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
23,"['https://img03.platesmania.com/230217/m/20910340.jpg', 'https://img03.platesmania.com/230217/inf/20910340b60cfc.png']",50 H 903 UA,DAF XF,"['4th gen, 2012–2017', 'Россия Оренбургская область']"
24,"['https://img03.platesmania.com/230217/m/20910285.jpg', 'https://img03.platesmania.com/230217/inf/2091028569c0e4.png']",10 R 860 AB,DAF XF,"['1st gen (95XF), 1997–2002', 'Россия Оренбургская область']"
25,"['https://img03.platesmania.com/230217/m/20910267.jpg', 'https://img03.platesmania.com/230217/inf/20910267e49642.png']",50 S 668 NA,DAF XF,['Россия Оренбургская область']
26,"['https://img03.platesmania.com/230217/m/20910259.jpg', 'https://img03.platesmania.com/230217/inf/209102599f4a89.png']",60 F 414 CA,DAF XF,['Россия Оренбургская область']
27,"['https://img03.platesmania.com/230217/m/20910233.jpg', 'https://img03.platesmania.com/230217/inf/209102332939ed.png']",10 X 300 VA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
28,"['https://img03.platesmania.com/230217/m/20908058.jpg', 'https://img03.platesmania.com/230217/inf/2090805805e44e.png']",60 X 335 LA,Volvo FH,"['2nd gen, 2002–2008', '09/2019г.  Россия, Самарская область']"
29,"['https://img03.platesmania.com/230217/m/20907913.jpg', 'https://img03.platesmania.com/230217/inf/2090791301e947.png']",90 O 031 KA,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', 'Волгоградская область.']"
30,"['https://img03.platesmania.com/230217/m/20907841.jpg', 'https://img03.platesmania.com/230217/inf/209078410d868e.png']",01 G 682 PA,Izh Москвич-412 (Moskvitch-412),"['412ИЭ-028, 1982–1999', ' Tashkent region']"
31,"['https://img03.platesmania.com/230217/m/20907840.jpg', 'https://img03.platesmania.com/230217/inf/2090784040140c.png']",10 P 003 RA,BYD Song,"['2nd gen Plus SUV, 2020–', 'Tashkent region']"
32,"['https://img03.platesmania.com/230217/m/20907839.jpg', 'https://img03.platesmania.com/230217/inf/2090783937cb64.png']",10 S 030 AA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
33,"['https://img03.platesmania.com/230216/m/20905137.jpg', 'https://img03.platesmania.com/230216/inf/20905137098b25.png']",50 V 995 DA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.  Россия, Самарская область']"
34,"['https://img03.platesmania.com/230216/m/20904054.jpg', 'https://img03.platesmania.com/230216/inf/20904054854eab.png']",90 G 195 QA,Mercedes-Benz Sprinter,"[""Россия, Новгородская область 'октябрь 2022 г.""]"
35,"['https://img03.platesmania.com/230215/m/20898669.jpg', 'https://img03.platesmania.com/230215/inf/20898669deb694.png']",75 Y 939 CA,Daewoo Nexia,"['1st gen, 1994-2008', '09/2019г.  Россия, Самарская область']"
36,"['https://img03.platesmania.com/230215/m/20895660.jpg', 'https://img03.platesmania.com/230215/inf/20895660417b18.png']",75 F 342 HA,Chevrolet Spark,"['Россия, Тула ']"
37,"['https://img03.platesmania.com/230215/m/20895656.jpg', 'https://img03.platesmania.com/230215/inf/208956568c2021.png']",75 F 342 HA,Chevrolet Spark,"['Россия, Тула ']"
38,"['https://img03.platesmania.com/230215/m/20895565.jpg', 'https://img03.platesmania.com/230215/inf/2089556524b716.png']",75 T 204 KA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Россия, самарская область']"
39,"['https://img03.platesmania.com/230215/m/20894664.jpg', 'https://img03.platesmania.com/230215/inf/20894664195c6e.png']",80 L 189 NA,Daewoo Matiz,"['1st gen (M150), facelift, 2000\xad–2011  (\xad–2015 for CIS-market)', 'Russia Moscow city / г. Москва']"
40,"['https://img03.platesmania.com/230214/m/20892803.jpg', 'https://img03.platesmania.com/230214/inf/20892803eac4c7.png']",01 K 173 DB,DAF XF,"['3rd gen (XF105), 2006–2013', 'Russia - Россия, п.Зайцево Новгородская область, 12/2022 ...прицеп: 8663AA|01...']"
41,"['https://img03.platesmania.com/230214/m/20891456.jpg', 'https://img03.platesmania.com/230214/inf/208914560e96c2.png']",40 G 780 RA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', '09/2019г.  Россия, Самарская область']"
42,"['https://img03.platesmania.com/230213/m/20885967.jpg', 'https://img03.platesmania.com/230213/inf/20885967860177.png']",30 E 078 UA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'г. Алма-Ата, Казахстан. (11.02.23)']"
43,"['https://img03.platesmania.com/230213/m/20885964.jpg', 'https://img03.platesmania.com/230213/inf/20885964f8761f.png']",30 E 078 UA,Chevrolet Spark,"['3rd gen (M300), 2009–2017 (–present for CIS-market)', 'г. Алма-Ата, Казахстан. (11.02.23)']"
44,"['https://img03.platesmania.com/230213/m/20885462.jpg', 'https://img03.platesmania.com/230213/inf/20885462c3bd2c.png']",90 L 878 LA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09/2019г.  Россия, Самарская область']"
45,"['https://img03.platesmania.com/230213/m/20884745.jpg', 'https://img03.platesmania.com/230213/inf/2088474508e5b9.png']",90 L 320 JA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', 'Россия, Нижний Новгород']"
46,"['https://img03.platesmania.com/230213/m/20884341.jpg', 'https://img03.platesmania.com/230213/inf/20884341868d9a.png']",60 K 525 EA,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', 'Россия  Оренбургская область']"
47,"['https://img03.platesmania.com/230213/m/20884336.jpg', 'https://img03.platesmania.com/230213/inf/20884336205331.png']",75 H 340 OA,Chevrolet Cobalt,['Россия  Оренбургская область']
48,"['https://img03.platesmania.com/230213/m/20884332.jpg', 'https://img03.platesmania.com/230213/inf/20884332e2daf4.png']",75 N 725 MA,Chevrolet Cobalt,['Россия  Оренбургская область']
49,"['https://img03.platesmania.com/230213/m/20883744.jpg', 'https://img03.platesmania.com/230213/inf/20883744d6cae3.png']",01 L 308 DB,Chevrolet Spark,['Казахстан г. Алматы']
50,"['https://img03.platesmania.com/230212/m/20879984.jpg', 'https://img03.platesmania.com/230212/inf/20879984733e53.png']",60 B 156 OA,Lada (VAZ) Largus,"['R90 Cross (KS0/RS0), 2014\xad–2020', '09.2019г. Россия, Самарская область ']"
51,"['https://img03.platesmania.com/230212/m/20879964.jpg', 'https://img03.platesmania.com/230212/inf/20879964c7de0f.png']",60 H 592 AA,Daewoo Nexia,"['1st gen, 1994-2008', '09.2019г. Россия, Самарская область ']"
52,"['https://img03.platesmania.com/230212/m/20879944.jpg', 'https://img03.platesmania.com/230212/inf/208799447375a9.png']",70 Q 317 MA,Lada (VAZ) 2191 Granta,"['2191, 2014–2018', '09.2019г. Россия, Самарская область ']"
53,"['https://img03.platesmania.com/230212/m/20879534.jpg', 'https://img03.platesmania.com/230212/inf/20879534651684.png']",30 C 916 LA,Chevrolet Nexia,"['1st gen, 2008–2016', '09.2019г. Россия, Самарская область ']"
54,"['https://img03.platesmania.com/230212/m/20879256.jpg', 'https://img03.platesmania.com/230212/inf/208792560a2343.png']",70 P 131 QA,Volvo FH,"['2nd gen, facelift, 2008–2012', 'Республика Казахстан,  Костанайская область,  Трасса А-22. ']"
55,"['https://img03.platesmania.com/230212/m/20878508.jpg', 'https://img03.platesmania.com/230212/inf/208785085a728b.png']",50 H 968 VA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Казахстан г. Алматы']"
56,"['https://img03.platesmania.com/230212/m/20876138.jpg', 'https://img03.platesmania.com/230212/inf/20876138b95b80.png']",40 J 539 AB,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', ' Российская Федерация Санкт-Петербург 2й номер серии']"
57,"['https://img03.platesmania.com/230212/m/20876137.jpg', 'https://img03.platesmania.com/230212/inf/20876137b09aa8.png']",40 J 539 AB,Chevrolet Captiva,"['1st gen (C100), 2006–2011', ' Российская Федерация Санкт-Петербург 2й номер серии']"
58,"['https://img03.platesmania.com/230211/m/20872485.jpg', 'https://img03.platesmania.com/230211/inf/208724856ab503.png']",60 O 168 QA,Chevrolet Orlando,"['1st gen (J309), 2011–2018', 'Россия Оренбургская область']"
59,"['https://img03.platesmania.com/230211/m/20872477.jpg', 'https://img03.platesmania.com/230211/inf/208724774010d1.png']",60 N 249 TA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Россия Оренбургская область']"
60,"['https://img03.platesmania.com/230211/m/20872475.jpg', 'https://img03.platesmania.com/230211/inf/20872475aa1919.png']",75 G 875 FA,Ravon R4,['Россия Оренбургская область']
61,"['https://img03.platesmania.com/230211/m/20872466.jpg', 'https://img03.platesmania.com/230211/inf/208724667f3934.png']",75 M 902 LA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Россия Оренбургская область']"
62,"['https://img03.platesmania.com/230211/m/20868687.jpg', 'https://img03.platesmania.com/230211/inf/208686871ae08f.png']",20 F 777 EA,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', ' Россия, Татарстан г.Казань   Russia, Tatarstan  Kazan  + Х 777 УМ 116']"
63,"['https://img03.platesmania.com/230210/m/20866861.jpg', 'https://img03.platesmania.com/230210/inf/20866861bb76ab.png']",10 E 249 ZA,MAN TGA,"['Россия, Самарская область']"
64,"['https://img03.platesmania.com/230210/m/20866830.jpg', 'https://img03.platesmania.com/230210/inf/2086683056eb31.png']",80 N 664 QA,MAN TGS,"['1st gen, 2007–2020', 'Россия, Самарская область']"
65,"['https://img03.platesmania.com/230210/m/20865774.jpg', 'https://img03.platesmania.com/230210/inf/2086577484c98e.png']",80 H 752 SA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', ' Россия, Орёл (57)']"
66,"['https://img03.platesmania.com/230209/m/20861045.jpg', 'https://img03.platesmania.com/230209/inf/208610451fcc80.png']",30 N 121 QA,Opel Zafira,"['1st gen, 1999–2006', '09.2019г.  Россия, Самарская область ']"
67,"['https://img03.platesmania.com/230209/m/20860830.jpg', 'https://img03.platesmania.com/230209/inf/20860830795396.png']",10 E 846 YA,Volvo FH,['Россия Оренбург ']
68,"['https://img03.platesmania.com/230209/m/20860591.jpg', 'https://img03.platesmania.com/230209/inf/20860591dca3ed.png']",80 B 266 OA,DAF XF,"['3rd gen (XF105), 2006–2013', '09.2019г.  Россия, Самарская область ']"
69,"['https://img03.platesmania.com/230209/m/20857882.jpg', 'https://img03.platesmania.com/230209/inf/20857882f63ad0.png']",90 Z 613 OA,Lada (VAZ) Largus,['Россия. 33 - Владимирская область. Russia. 33 - Vladimir region.']
70,"['https://img03.platesmania.com/230208/m/20855116.jpg', 'https://img03.platesmania.com/230208/inf/208551164bb22e.png']",50 Z 408 NA,DAF XF,"['3rd gen (XF105), 2006–2013', 'Россия Оренбургская область']"
71,"['https://img03.platesmania.com/230208/m/20850374.jpg', 'https://img03.platesmania.com/230208/inf/20850374bd3271.png']",10 N 111 BA,Chevrolet Tracker,"['4th gen, 2019-present', 'Tashkent region']"
72,"['https://img03.platesmania.com/230208/m/20850371.jpg', 'https://img03.platesmania.com/230208/inf/20850371d148a0.png']",10 B 641 BB,Chevrolet Nexia,"['2nd gen (T250), 2016–', ' Tashkent region']"
73,"['https://img03.platesmania.com/230208/m/20850368.jpg', 'https://img03.platesmania.com/230208/inf/208503684b5cb7.png']",10 D 062 ZA,BYD Song,"['2nd gen Plus SUV, 2020–', 'Tashkent region']"
74,"['https://img03.platesmania.com/230208/m/20850366.jpg', 'https://img03.platesmania.com/230208/inf/20850366dfe295.png']",10 F 500 CA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
75,"['https://img03.platesmania.com/230208/m/20850365.jpg', 'https://img03.platesmania.com/230208/inf/208503658c503c.png']",01 B 687 BA,Daewoo Matiz,['Tashkent region']
76,"['https://img03.platesmania.com/230208/m/20850364.jpg', 'https://img03.platesmania.com/230208/inf/20850364f7d692.png']",70 Y 983 VA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
77,"['https://img03.platesmania.com/230206/m/20841988.jpg', 'https://img03.platesmania.com/230206/inf/208419885c1cea.png']",01 C 633 KA,Daewoo Leganza,['Tashkent region']
78,"['https://img03.platesmania.com/230206/m/20841973.jpg', 'https://img03.platesmania.com/230206/inf/208419735ede64.png']",10 G 500 SA,Nissan Sylphy,"['3rd gen Zero Emission (NB17; CN-maket), facelift, 2018–', ' Tashkent region']"
79,"['https://img03.platesmania.com/230206/m/20841958.jpg', 'https://img03.platesmania.com/230206/inf/208419584d80cd.png']",10 Y 111 BA,Chevrolet Malibu,"['6th gen, 2016–', 'Tashkent region']"
80,"['https://img03.platesmania.com/230206/m/20841897.jpg', 'https://img03.platesmania.com/230206/inf/20841897d5bd71.png']",10 X 555 CA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Tashkent region']"
81,"['https://img03.platesmania.com/230206/m/20841890.jpg', 'https://img03.platesmania.com/230206/inf/20841890edbd05.png']",01 F 444 PA,Chevrolet Tracker,"['4th gen, 2019-present', 'Tashkent region']"
82,"['https://img03.platesmania.com/230206/m/20841873.jpg', 'https://img03.platesmania.com/230206/inf/2084187345c711.png']",10 E 770 GA,Chevrolet Tracker,"['4th gen, 2019-present', 'Tashkent region']"
83,"['https://img03.platesmania.com/230206/m/20841859.jpg', 'https://img03.platesmania.com/230206/inf/20841859d1725f.png']",10 E 900 UA,Chevrolet Lacetti,['Tashkent region']
84,"['https://img03.platesmania.com/230206/m/20841831.jpg', 'https://img03.platesmania.com/230206/inf/20841831b78dfc.png']",30 D 351 BB,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', 'Tashkent region']"
85,"['https://img03.platesmania.com/230206/m/20841814.jpg', 'https://img03.platesmania.com/230206/inf/208418146b761e.png']",01 Q 490 YB,Chevrolet Lacetti,"['1st gen Sedan (J200), 2004\xad–2012', 'Tashkent region']"
86,"['https://img03.platesmania.com/230206/m/20841799.jpg', 'https://img03.platesmania.com/230206/inf/2084179926f2ce.png']",10 Z 140 AB,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Tashkent region']"
87,"['https://img03.platesmania.com/230206/m/20841779.jpg', 'https://img03.platesmania.com/230206/inf/2084177901c0a6.png']",01 H 725 QB,Hyundai Tucson,"['4th gen (NX4), 2020–', 'Tashkent region']"
88,"['https://img03.platesmania.com/230206/m/20841755.jpg', 'https://img03.platesmania.com/230206/inf/208417558ff7df.png']",10 H 997 RA,Chevrolet Damas,['Tashkent region']
89,"['https://img03.platesmania.com/230206/m/20841729.jpg', 'https://img03.platesmania.com/230206/inf/20841729f3eb5a.png']",10 H 169 RA,Lada (VAZ) 2106,['Tashkent region']
90,"['https://img03.platesmania.com/230206/m/20840761.jpg', 'https://img03.platesmania.com/230206/inf/208407613757f8.png']",75 W 915 PA,Ravon R4,"['Россия, Москва']"
91,"['https://img03.platesmania.com/230206/m/20840755.jpg', 'https://img03.platesmania.com/230206/inf/2084075598847f.png']",75 W 915 PA,Ravon R4,"['Россия, Москва']"
92,"['https://img03.platesmania.com/230206/m/20839096.jpg', 'https://img03.platesmania.com/230206/inf/20839096e41779.png']",10 A 961 MA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.   Россия, Самарская область']"
93,"['https://img03.platesmania.com/230206/m/20839094.jpg', 'https://img03.platesmania.com/230206/inf/208390948df225.png']",90 M 549 JA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', '09.2019г.   Россия, Самарская область']"
94,"['https://img03.platesmania.com/230205/m/20836276.jpg', 'https://img03.platesmania.com/230205/inf/208362769b7a55.png']",75 H 878 OA,Lada (VAZ) Largus,['Россия. 50 - Московская область. Russia. 50 - Moscow region.']
95,"['https://img03.platesmania.com/230205/m/20834319.jpg', 'https://img03.platesmania.com/230205/inf/2083431914512e.png']",95 X 483 KA,Chevrolet Cobalt,"['РФ, Москва']"
96,"['https://img03.platesmania.com/230204/m/20825490.jpg', 'https://img03.platesmania.com/230204/inf/20825490337d15.png']",40 O 325 CB,Chevrolet Captiva,"['1st gen (C100), 2006–2011', 'Москва ']"
97,"['https://img03.platesmania.com/230203/m/20822440.jpg', 'https://img03.platesmania.com/230203/inf/2082244070b465.png']",75 M 189 JA,Chevrolet Captiva,"['1st gen (С100), facelift, 2011–2018', 'Россия,Санкт-Петербург']"
98,"['https://img03.platesmania.com/230203/m/20822217.jpg', 'https://img03.platesmania.com/230203/inf/208222175f5c3c.png']",60 U 591 NA,MAN TGS,"['1st gen, 2007–2020', 'Саратов РФ']"
99,"['https://img03.platesmania.com/230203/m/20821881.jpg', 'https://img03.platesmania.com/230203/inf/20821881d84fde.png']",80 H 323 OA,Mercedes-Benz Actros,"['2nd gen (MP2/MP3), 2003–2021', 'GE, Mtsheta-Mtianeti']"
100,"['https://img03.platesmania.com/230203/m/20821130.jpg', 'https://img03.platesmania.com/230203/inf/2082113065afce.png']",80 C 287 KA,Lada (VAZ) Largus,"['R90 (KS0/RS0), 2012\xad–2020', 'Россия. 50 - Московская область. Russia. 50 - Moscow region.']"
101,"['https://img03.platesmania.com/230202/m/20819118.jpg', 'https://img03.platesmania.com/230202/inf/20819118bdb787.png']",10 H 278 RA,GAZ 3102 Волга,['Tashkent region']
102,"['https://img03.platesmania.com/230202/m/20819004.jpg', 'https://img03.platesmania.com/230202/inf/208190043a4287.png']",90 N 626 FA,DAF XF,"['2nd gen (XF95), 2002–2006', 'Калмыкия']"
103,"['https://img03.platesmania.com/230202/m/20819002.jpg', 'https://img03.platesmania.com/230202/inf/208190020dcfb7.png']",90 G 201 MA,DAF XF,['Калмыкия']
104,"['https://img03.platesmania.com/230202/m/20817001.jpg', 'https://img03.platesmania.com/230202/inf/20817001cf6d5f.png']",40 T 067 RA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', ' Республика Казахстан,  Костанайская область,  Трасса А-22.']"
105,"['https://img03.platesmania.com/230202/m/20814205.jpg', 'https://img03.platesmania.com/230202/inf/20814205dd3017.png']",90 G 148 RA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Казахстан г. Алматы']"
106,"['https://img03.platesmania.com/230202/m/20814088.jpg', 'https://img03.platesmania.com/230202/inf/208140883bd873.png']",40 O 287 RA,Volvo FH,"['2nd gen, facelift, 2008–2012', 'Russia Moscow city / г. Москва']"
107,"['https://img03.platesmania.com/230202/m/20813616.jpg', 'https://img03.platesmania.com/230202/inf/2081361604f800.png']",80 M 505 HA,MAN TGS,"['1st gen, 2007–2020', 'Moscow region, Russia']"
108,"['https://img03.platesmania.com/230202/m/20813614.jpg', 'https://img03.platesmania.com/230202/inf/20813614c5684d.png']",80 Q 107 QA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Moscow region, Russia']"
109,"['https://img03.platesmania.com/230201/m/20812442.jpg', 'https://img03.platesmania.com/230201/inf/2081244278a0ef.png']",40 X 679 SA,Mercedes-Benz Vito,"['2nd gen (W639), 2003–2010', 'Россия, Самарская область']"
110,"['https://img03.platesmania.com/230201/m/20811910.jpg', 'https://img03.platesmania.com/230201/inf/20811910ac7d64.png']",60 P 310 UA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
111,"['https://img03.platesmania.com/230201/m/20811898.jpg', 'https://img03.platesmania.com/230201/inf/208118980b69da.png']",40 H 208 QA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
112,"['https://img03.platesmania.com/230201/m/20811886.jpg', 'https://img03.platesmania.com/230201/inf/208118862c2eda.png']",40 E 731 AB,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
113,"['https://img03.platesmania.com/230201/m/20811880.jpg', 'https://img03.platesmania.com/230201/inf/20811880e585d0.png']",01 X 318 WB,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
114,"['https://img03.platesmania.com/230201/m/20811874.jpg', 'https://img03.platesmania.com/230201/inf/20811874f4bf3e.png']",50 K 968 TA,MAN TGX,"['1st gen (Phase 1,2,3), 2007–2020', 'Россия Оренбургская область']"
115,"['https://img03.platesmania.com/230201/m/20811844.jpg', 'https://img03.platesmania.com/230201/inf/20811844f2ef01.png']",10 W 590 OA,MAN TGS,"['1st gen, 2007–2020', 'Россия Оренбургская область']"
116,"['https://img03.platesmania.com/230201/m/20811243.jpg', 'https://img03.platesmania.com/230201/inf/208112438283ce.png']",30 D 796 UA,Chevrolet Spark,['Казахстан г. Алматы']
117,"['https://img03.platesmania.com/230201/m/20811239.jpg', 'https://img03.platesmania.com/230201/inf/20811239090220.png']",70 A 748 VA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', 'Казахстан г. Алматы']"
118,"['https://img03.platesmania.com/230201/m/20809603.jpg', 'https://img03.platesmania.com/230201/inf/208096039bc9e9.png']",75 Q 780 OA,DAF XF,"['5th gen, 2017–2021', 'Республика Казахстан,  Костанайская область,  Трасса А-22. ']"
119,"['https://img03.platesmania.com/230201/m/20808419.jpg', 'https://img03.platesmania.com/230201/inf/208084193356cf.png']",40 O 286 RA,Volvo FH,"['2nd gen, facelift, 2008–2012', 'Russia Moscow city / г. Москва']"
120,"['https://img03.platesmania.com/230201/m/20808377.jpg', 'https://img03.platesmania.com/230201/inf/208083770b6d12.png']",75 K 300 OA,Chevrolet Cobalt,"['2nd gen (UZ- and LATAM-market), 2011– (–2016\xad for LATAM-market)', ' Россия. 21 - Чувашская Республика. Russia. 21 - Chuvash Republic.']"
121,"['https://img03.platesmania.com/230131/m/20806690.jpg', 'https://img03.platesmania.com/230131/inf/208066909dd79c.png']",50 B 736 VA,Chevrolet Nexia,"['2nd gen (T250), 2016–', 'г. Алма-Ата, Казахстан. (29.01.23)']"
122,"['https://img03.platesmania.com/230131/m/20806537.jpg', 'https://img03.platesmania.com/230131/inf/20806537a1e4a0.png']",50 L 400 QA,Volvo FH,"['2nd gen, facelift, 2008–2012', 'Россия Оренбургская область']"
